Country,State,District,Year,"Climate Vulnerability Index (UOM:Ratio), Scaling Factor:1","Marginal And Small Landholding (%) (UOM:%(Percentage)), Scaling Factor:1","Area Covered Under Crop Insurance (%) (UOM:%(Percentage)), Scaling Factor:1","Proportion Of The Area Under Rainfed Agriculture (UOM:Ratio), Scaling Factor:1","Total Area Of Forest Per 100 Rural Population (UOM:Ratio), Scaling Factor:1","Women Participation In The Workforce (%) (UOM:%(Percentage)), Scaling Factor:1","Average Days Of Employment Provided Per Household Under Mgnrega In A Year (%) (UOM:%(Percentage)), Scaling Factor:1","Road Density (UOM:Ratio), Scaling Factor:1","Functional Health Centres Per Thousand Population (UOM:Number), Scaling Factor:1","Infant Mortality Rate(Imr) (UOM:Ratio), Scaling Factor:1","Households With Electricity (%) (UOM:%(Percentage)), Scaling Factor:1","Households With The Improved Drinking Water Source (%) (UOM:%(Percentage)), Scaling Factor:1","Yield Variability Of Food Grains (UOM:Ratio), Scaling Factor:1","Per Capita Income (UOM:INR(IndianRupees)), Scaling Factor:1","Livestock Per Population (%) (UOM:%(Percentage)), Scaling Factor:1","Area Under Forest Cover (%) (UOM:%(Percentage)), Scaling Factor:1","Value Of Output Of Total Horticulture Against Value Of Agricultural Output (UOM:Ratio), Scaling Factor:1","Unirrigated Area (%) (UOM:%(Percentage)), Scaling Factor:1","Quantity Ground Water Extracted Per 1000 Hectare (UOM:Number), Scaling Factor:1","Rural Households Having Kisan Credit Card (%) (UOM:%(Percentage)), Scaling Factor:1","Self Help Groups Per 1000 Population (UOM:Number), Scaling Factor:1","Doctors Per 1000 Population (UOM:Number), Scaling Factor:1","Population Below Poverty Line (%) (UOM:%(Percentage)), Scaling Factor:1","Proportion Of Income Generated From Tertiary Sector (UOM:Ratio), Scaling Factor:1","Forest Area Per 1,000 Rural Population (UOM:Number), Scaling Factor:1","Share Of Horticulture In Agriculture (UOM:Ratio), Scaling Factor:1","Proportion Of Net Irrigated Area (UOM:Ratio), Scaling Factor:1","Availability Of Ground Water (UOM:L(Litre)), Scaling Factor:1","Population In Multi- Hazard Areas (%) (UOM:%(Percentage)), Scaling Factor:1","Rural Banks Per 1000 Rural Population (UOM:Number), Scaling Factor:1","Vector Borne Diseases Per 1,000 Population (UOM:Number), Scaling Factor:1","Water Borne Diseases Per 1,000 Population (UOM:Number), Scaling Factor:1","Agricultural Labourers (%) (UOM:%(Percentage)), Scaling Factor:1","Value Of Agricultural Output To Value Of Horticulture Output (UOM:Ratio), Scaling Factor:1","Net Irrigated Area To Net Sown Area (UOM:Ratio), Scaling Factor:1","Length Of Roads Per 100 Sqkm (UOM:Ratio), Scaling Factor:1","Households Availing Banking Services (%) (UOM:%(Percentage)), Scaling Factor:1","Share Of Area Insured Under National Institute Of Advanced Studies (UOM:Ratio), Scaling Factor:1","Net Sown Area Under Horticulture (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Improved Sanitation Facility (%) (UOM:%(Percentage)), Scaling Factor:1","Female Literacy Rate (%) (UOM:%(Percentage)), Scaling Factor:1","Net Area Under Agriculture To Total Geographical Area (%) (UOM:%(Percentage)), Scaling Factor:1","Net Un- Irrigated Area To Net Sown Area (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Monthly Income Of Highest Earning Household Members In A Rural Area Less Than Rs 5,000/- (%) (UOM:%(Percentage)), Scaling Factor:1","Rural Households With No Land Ownership (%) (UOM:%(Percentage)), Scaling Factor:1","Net Irrigated By Net Sown (%) (UOM:%(Percentage)), Scaling Factor:1","Drainage Density (UOM:Ratio), Scaling Factor:1","Natural Resource Management Works Per 1,000 Hectares (UOM:Number), Scaling Factor:1","Anganwadi Centres Per 1000 Hectares (UOM:Number), Scaling Factor:1","Percentage Of Agricultural Area Under Slopes Greater Than 45 Degree (UOM:%(Percentage)), Scaling Factor:1","Total Crop Produced In Both Agricultural And Horticultural Crops (%) (UOM:%(Percentage)), Scaling Factor:1","Main And Local Markets Per Geographical Area (%) (UOM:%(Percentage)), Scaling Factor:1","Water Scarcity (UOM:Number), Scaling Factor:1","Soil Fertility (UOM:Ratio), Scaling Factor:1","Crop Diversification Index (UOM:Ratio), Scaling Factor:1","Road Connectivity (%) (UOM:%(Percentage)), Scaling Factor:1","Access To Market (UOM:Ratio), Scaling Factor:1","Income Diversification Within Agriculture Sector (UOM:INR(IndianRupees)), Scaling Factor:1","Water Availability (UOM:L(Litre)), Scaling Factor:1","Area Under Water Bodies (%) (UOM:%(Percentage)), Scaling Factor:1","Fair Price Shops Per 1000 Population (UOM:Number), Scaling Factor:1","Total Female Workforce (UOM:Number), Scaling Factor:1","Stage Of Groundwater Development (%) (UOM:%(Percentage)), Scaling Factor:1","Cropping Intensity (UOM:Ratio), Scaling Factor:1","Proportion Of Area Under Commercial Crops To Set Sown Area (UOM:Ratio), Scaling Factor:1","Variability Of Crop, Livestock, And Fish Yield (UOM:Ratio), Scaling Factor:1","Available Water Resources Under Fish Culture (%) (UOM:%(Percentage)), Scaling Factor:1","Degree Of Forest Dependence By Rural Tribal Communities (UOM:Ratio), Scaling Factor:1","Approved Minor Forest Produce (Mfp) Microenterprises (UOM:Number), Scaling Factor:1","Dependency Ratio Of Rural Households Below The Poverty Line (UOM:Ratio), Scaling Factor:1","Establishments By Oae, Estt, Micro, Small And Medium (UOM:Number), Scaling Factor:1","Functional Health Care Facilities Per 10,000 Population (UOM:PerTenThousand(10000)), Scaling Factor:1","Households With Any Usual Member Covered By A Health Scheme Or Health Insurance (UOM:Number), Scaling Factor:1"
India,Arunachal Pradesh,Kurung Kumey,"Calendar Year (Jan - Dec), 2021",0.551,35,,,,,14.3,0.12,,,,,0.49,0.35,40,,,,,,,,,,,0.95,,23,,,,,,,,,,,39.41,,,,,,,,2.89,,,,,,,,0.35,,,,23038.09,1.23,0.72,,,,,,,,,,,,
India,Arunachal Pradesh,Lohit,"Calendar Year (Jan - Dec), 2021",0.495,43,,,,,31.08,0.17,,,,,0.1,0.55,297,,,,,,,,,,,1.25,,1756.77,,,,,,,,,,,24.96,,,,,,,,2.64,,,,,,,,0.39,,,,10207.98,4.01,0.21,,,,,,,,,,,,
India,Arunachal Pradesh,Lower Dibang Valley,"Calendar Year (Jan - Dec), 2021",0.496,15,,,,,16.6,0.11,,,,,0.12,0.54,213,,,,,,,,,,,0.84,,856.18,,,,,,,,,,,47.38,,,,,,,,2.52,,,,,,,,0.42,,,,10685.38,5.97,1.02,,,,,,,,,,,,
India,Arunachal Pradesh,Lower Subansiri,"Calendar Year (Jan - Dec), 2021",,59,,,,,12.52,0.19,,,,,0.27,0.56,291,,,,,,,,,,,0.75,,23.08,,,,,,,,,,,59.65,,,,,,,,3.71,,,,,,,,0.55,,,,9368.93,0.98,1.53,,,,,,,,,,,,
India,Arunachal Pradesh,Papum Pare,"Calendar Year (Jan - Dec), 2021",0.439,32,,,,,12.94,0.19,,,,,0.14,0.63,117,,,,,,,,,,,0.33,,119.32,,,,,,,,,,,37.46,,,,,,,,3.66,,,,,,,,0.57,,,,8948.7,1.42,1.29,,,,,,,,,,,,
India,Arunachal Pradesh,Tawang,"Calendar Year (Jan - Dec), 2021",0.576,95,,,,,15.01,0.64,,,,,0.13,0.69,219,,,,,,,,,,,0.88,,15,,,,,,,,,,,10.85,,,,,,,,2.37,,,,,,,,0.22,,,,3457.98,2.34,0.76,,,,,,,,,,,,
India,Arunachal Pradesh,Tirap,"Calendar Year (Jan - Dec), 2021",0.575,64,,,,,11.84,0.57,,,,,0.29,0.31,16,,,,,,,,,,,0.67,,83.27,,,,,,,,,,,4.09,,,,,,,,3.32,,,,,,,,0.34,,,,5046.01,0.85,0.26,,,,,,,,,,,,
India,Arunachal Pradesh,Upper Siang,"Calendar Year (Jan - Dec), 2021",0.484,43,,,,,17.2,0.13,,,,,0.2,0.4,163,,,,,,,,,,,0.37,,670,,,,,,,,,,,21.28,,,,,,,,2.84,,,,,,,,0.47,,,,20909.93,1.92,3.71,,,,,,,,,,,,
India,Arunachal Pradesh,Upper Subansiri,"Calendar Year (Jan - Dec), 2021",,19,,,,,10.17,0.15,,,,,0.2,0.36,150,,,,,,,,,,,0.69,,3,,,,,,,,,,,15.32,,,,,,,,3.33,,,,,,,,0.41,,,,21980,0.94,1.04,,,,,,,,,,,,
India,Arunachal Pradesh,West Kameng,"Calendar Year (Jan - Dec), 2021",0.525,69,,,,,17.49,0.21,,,,,0.14,0.63,115,,,,,,,,,,,0.91,,15.76,,,,,,,,,,,5.86,,,,,,,,3.27,,,,,,,,0.28,,,,12244.17,1.12,0.8,,,,,,,,,,,,
India,Arunachal Pradesh,West Siang,"Calendar Year (Jan - Dec), 2021",,40,,,,,20.16,0.15,,,,,0.15,0.39,77,,,,,,,,,,,0.25,,56.01,,,,,,,,,,,44.36,,,,,,,,3.07,,,,,,,,0.63,,,,23981.2,1.22,1.24,,,,,,,,,,,,
India,Assam,Baksa,"Calendar Year (Jan - Dec), 2021",0.69,0.81,0.18,0.89,0.06,0.34,26.54,0.02,,59,98.1,94.8,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,58.8,61.8,,,75.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Barpeta,"Calendar Year (Jan - Dec), 2021",0.703,0.8,0.37,0.64,0.01,0.21,34.3,0.08,,62,81.8,82.4,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,54.3,72.6,,,80.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Bongaigaon,"Calendar Year (Jan - Dec), 2021",0.631,0.93,0.73,0.82,0.04,0.23,24.38,0.27,,59,72.3,97.8,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,34.9,67.4,,,78.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Cachar,"Calendar Year (Jan - Dec), 2021",0.703,0.85,0.17,0.96,0.16,0.23,39.37,0.09,,56,88.4,74,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,45.9,71.4,,,72.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Chirang,"Calendar Year (Jan - Dec), 2021",0.662,0.89,0.19,0.89,0.16,0.34,41.91,0.05,,61,67.5,61.6,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,37.3,74.9,,,77.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Darrang,"Calendar Year (Jan - Dec), 2021",0.732,0.88,0.34,0.79,0.01,0.24,32.03,0.12,,70,72,70.8,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,32.6,63.3,,,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Dhemaji,"Calendar Year (Jan - Dec), 2021",0.651,0.87,0.27,0.99,0.05,0.41,36.07,0.03,,52,77,97,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,45.6,67.7,,,80.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Dhubri,"Calendar Year (Jan - Dec), 2021",0.734,0.87,0.27,0.93,0.01,0.22,37.11,0.11,,75,66.45,90.55,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,37.2,66.35,,,85.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Dibrugarh,"Calendar Year (Jan - Dec), 2021",0.685,0.83,0.07,0.97,0.07,0.34,20.52,0.07,,49,75.4,98.8,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,56.6,72.6,,,74.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Dima Hasao,"Calendar Year (Jan - Dec), 2021",0.553,0.99,0.01,0.98,2.77,0.34,26.09,0.03,,53,75.4,98.8,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,56.6,72.6,,,77.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Goalpara,"Calendar Year (Jan - Dec), 2021",0.752,0.88,0.38,0.82,0.05,0.26,22.87,0.09,,64,79.2,47.7,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,59,71.8,,,80.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Golaghat,"Calendar Year (Jan - Dec), 2021",0.707,0.82,0.06,1,0.07,0.36,21.3,0.07,,56,71.3,87.1,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,46.2,70.7,,,79.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Hailakandi,"Calendar Year (Jan - Dec), 2021",0.684,0.89,0.29,0.96,0.13,0.2,24.35,0.11,,71,86.8,94.3,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,59.6,75.8,,,80.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Jorhat,"Calendar Year (Jan - Dec), 2021",0.663,0.85,0.19,0.96,0.06,0.36,32.07,0.12,,49,71.25,69.65,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,50.25,77.75,,,70.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Kamrup,"Calendar Year (Jan - Dec), 2021",0.512,0.33,0.58,0.94,0.07,0.32,29.79,0.08,,56,88.8,93.9,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,52.6,76.7,,,71.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Kamrup Metro,"Calendar Year (Jan - Dec), 2021",0.647,0.87,0.02,0.85,0.21,0.23,33.09,0.82,,47,95,80.1,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,61.2,84.3,,,57.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Karbi Anglong,"Calendar Year (Jan - Dec), 2021",0.626,0.84,0.02,0.85,0.94,0.36,23.65,0.01,,70,88.35,66.25,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,51.35,73.1,,,80.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Karimganj,"Calendar Year (Jan - Dec), 2021",0.753,0.79,0.12,0.96,0.08,0.2,30.15,0.09,,67,71.3,62.8,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,39.5,78.6,,,73.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Kokrajhar,"Calendar Year (Jan - Dec), 2021",0.699,0.91,0.18,0.82,0.14,0.31,38.39,0.02,,75,74.1,76.5,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,39.2,64.5,,,78.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Lakhimpur,"Calendar Year (Jan - Dec), 2021",0.673,0.85,0.27,0.89,0.03,0.34,46.99,0.08,,55,77.6,73.4,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,49.6,79,,,76.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Marigaon,"Calendar Year (Jan - Dec), 2021",0.688,0.88,0.31,0.98,0.02,0.27,42.61,0.06,,69,77.7,98,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,40.1,73,,,81.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Nagaon,"Calendar Year (Jan - Dec), 2021",0.683,0.85,0.22,0.8,0.04,0.22,36.95,0.09,,63,83.4,92.7,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,45.5,73.3,,,77.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Nalbari,"Calendar Year (Jan - Dec), 2021",0.654,0.82,0.1,0.98,0.02,0.21,42.09,0.13,,48,84,98.4,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,51.2,79.3,,,66.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Sivasagar,"Calendar Year (Jan - Dec), 2021",0.685,0.81,0.1,0.98,0.07,0.33,17.72,0.07,,51,78.7,96.2,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,55.5,77.1,,,73.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Sonitpur,"Calendar Year (Jan - Dec), 2021",0.72,0.86,0.13,0.88,0.06,0.3,30.71,0.05,,64,79.6,71.2,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,61,68.3,,,76.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Tinsukia,"Calendar Year (Jan - Dec), 2021",0.693,0.81,0.1,1,0.15,0.34,19.55,0.09,,49,76.3,96,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,50.8,59.1,,,74.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Assam,Udalguri,"Calendar Year (Jan - Dec), 2021",0.659,0.87,0.23,0.7,0.05,0.33,39.9,0.05,,62,84.8,81.2,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,53.8,66.6,,,80.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
